-72.29006134969325, -15.622927030326089
-72.28981595092024, -15.625718362105864
-72.28907975460123, -15.628097525403847
-72.28552147239265, -15.637098967993532
-72.2836809815951, -15.640359537737195
-72.29042944785276, -15.600652177359269
-72.27840490797546, -15.60001141389642
-72.27460122699387, -15.599969562942883
-72.27147239263805, -15.59997764778618
-72.2822699386503, -15.644807628287442
-72.29300613496932, -15.61806153992486
-72.29533742331289, -15.614954740730173
-72.29877300613497, -15.611018214676369
-72.29766871165644, -15.606473264532902
-72.29423312883435, -15.603484725987222
-72.27263803680982, -15.644780837336125
-72.2716564417178, -15.643129626987525
-72.27018404907976, -15.640652811464626
-72.26944785276073, -15.63807073445253
-72.26895705521473, -15.63300740318004
-72.26944785276073, -15.63011207812178
-72.27018404907976, -15.627732914823799
-72.27030674846625, -15.62101425151789
-72.27116564417179, -15.617187742743457
-72.2717791411043, -15.613258508901254
-72.26871165644172, -15.609752223331906
-72.26809815950921, -15.605929519189614
